epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,11043.9,0.96401,0.6005,1.11639,0.37987,0.41845,0.34134,0.16293,1.90855,2.24378,1.77281,0.000820525,0.000820525,0.000820525
30,11426.4,0.92439,0.57173,1.08558,0.53226,0.34398,0.42685,0.20828,1.899,2.0492,1.72953,0.000808389,0.000808389,0.000808389
31,11809.1,0.92665,0.56974,1.09267,0.45139,0.41383,0.43229,0.20765,1.88598,2.00987,1.78536,0.000795954,0.000795954,0.000795954
32,12191.9,0.93076,0.56787,1.09997,0.40649,0.46213,0.3952,0.19539,1.92636,2.20332,1.91155,0.000783231,0.000783231,0.000783231
33,12574.2,0.90081,0.56626,1.08853,0.48114,0.42535,0.44173,0.20667,1.947,1.92161,1.83856,0.000770234,0.000770234,0.000770234
34,12956.4,0.89319,0.54073,1.07617,0.29591,0.50898,0.35267,0.18347,1.86039,2.35371,1.78292,0.000756976,0.000756976,0.000756976
35,13337.3,0.88851,0.54212,1.08229,0.56832,0.41123,0.47732,0.22364,1.92252,1.98214,1.86642,0.000743468,0.000743468,0.000743468
36,13719.2,0.87663,0.53418,1.06598,0.44566,0.50498,0.44534,0.22643,1.86177,2.12784,1.81089,0.000729725,0.000729725,0.000729725
37,14102.6,0.86788,0.53326,1.06775,0.39708,0.48151,0.45405,0.23075,1.79477,1.88498,1.80382,0.000715761,0.000715761,0.000715761
38,14485.5,0.85502,0.5208,1.06112,0.40569,0.48031,0.46673,0.23255,1.90912,1.95799,1.88174,0.000701588,0.000701588,0.000701588
39,14862,0.85183,0.51716,1.05686,0.40619,0.40423,0.41978,0.19834,1.96815,2.1607,1.85229,0.000687222,0.000687222,0.000687222
40,15245.4,0.85732,0.52143,1.06029,0.41354,0.57711,0.52074,0.24554,1.83276,1.73137,1.79641,0.000672675,0.000672675,0.000672675
41,15628.7,0.82979,0.4991,1.04926,0.51316,0.50983,0.4737,0.23231,1.82745,1.86965,1.7676,0.000657963,0.000657963,0.000657963
42,16011.7,0.82715,0.5023,1.04701,0.528,0.41074,0.47575,0.23916,1.86658,2.10157,1.86399,0.000643101,0.000643101,0.000643101
43,16392.6,0.81455,0.51157,1.03841,0.35033,0.57977,0.47023,0.22919,1.90181,1.93056,1.88086,0.000628101,0.000628101,0.000628101
